report_date,purchase,redeem
20140901,267315685,281644050
20140902,267832398,283566157
20140903,268349111,285488264
20140904,268865823,287410372
20140905,269382536,289332479
20140906,269899249,291254586
20140907,270415961,293176694
20140908,270932674,295098801
20140909,271449386,297020908
20140910,271966099,298943016
20140911,272482812,300865123
20140912,272999524,302787230
20140913,273516237,304709338
20140914,274032950,306631445
20140915,274549662,308553552
20140916,275066375,310475660
20140917,275583088,312397767
20140918,276099800,314319874
20140919,276616513,316241981
20140920,277133225,318164089
20140921,277649938,320086196
20140922,278166651,322008303
20140923,278683363,323930411
20140924,279200076,325852518
20140925,279716789,327774625
20140926,280233501,329696733
20140927,280750214,331618840
20140928,281266926,333540947
20140929,281783639,335463055
20140930,282300352,337385162
